ts_utc,price,source
2026-08-20T23:00:00Z,3403.87,bearpaws.io
2026-08-20T23:15:00Z,3401.64,bearpaws.io
2026-08-20T23:30:00Z,3402.6,bearpaws.io
2026-08-20T23:45:00Z,3399.87,bearpaws.io
2026-08-21T00:00:00Z,3400.1,bearpaws.io
2026-08-21T00:15:00Z,3399.24,bearpaws.io
2026-08-21T00:30:00Z,3396.41,bearpaws.io
2026-08-21T00:45:00Z,3396.46,bearpaws.io
2026-08-21T01:00:00Z,3393.5,bearpaws.io
2026-08-21T01:15:00Z,3393.07,bearpaws.io
2026-08-21T01:30:00Z,3390.32,bearpaws.io
2026-08-21T01:45:00Z,3387.7,bearpaws.io
2026-08-21T02:00:00Z,3387.22,bearpaws.io
2026-08-21T02:15:00Z,3389.31,bearpaws.io
2026-08-21T02:30:00Z,3386.9,bearpaws.io
2026-08-21T02:45:00Z,3385.13,bearpaws.io
2026-08-21T03:00:00Z,3385.94,bearpaws.io
2026-08-21T03:15:00Z,3388.81,bearpaws.io
2026-08-21T03:30:00Z,3389.3,bearpaws.io
2026-08-21T03:45:00Z,3388.64,bearpaws.io
2026-08-21T04:00:00Z,3391.69,bearpaws.io
2026-08-21T04:15:00Z,3388.79,bearpaws.io
2026-08-21T04:30:00Z,3391.08,bearpaws.io
2026-08-21T04:45:00Z,3389.74,bearpaws.io
2026-08-21T05:00:00Z,3387.46,bearpaws.io
2026-08-21T05:15:00Z,3385.01,bearpaws.io
2026-08-21T05:30:00Z,3383.79,bearpaws.io
2026-08-21T05:45:00Z,3385.81,bearpaws.io
2026-08-21T06:00:00Z,3383.77,bearpaws.io
2026-08-21T06:15:00Z,3384.29,bearpaws.io
2026-08-21T06:30:00Z,3385.18,bearpaws.io
2026-08-21T06:45:00Z,3384.36,bearpaws.io
